id,room,area,toilet,x,y,khoang_cach,n_hospital,price
5197,3,78.0,2,21.04431725,105.877861,7.32,3,36.2826087
4492,2,66.38,2,20.98306274,105.809082,6.0,3,20.703764319999998
7588,2,54.0,1,21.00885201,105.7439194,6.97,0,46.557077624
1175,3,110.7,2,21.06583977,105.7981491,2.38,1,51.85045318571429
1194,3,100.0,2,21.08234978,105.8717575,7.78,0,41.77216884035292
941,2,58.0,1,21.07865143,105.8026123,3.58,0,21.602173911999998
10015,3,94.0,2,21.03445816,105.7696533,3.61,0,36.819693647115386
10213,1,30.0,1,21.00893211,105.7440033,6.96,0,42.256108811751155
10790,2,58.0,1,21.05119324,105.7936401,1.38,1,47.0
7364,2,35.0,1,20.998032,105.8503425,6.4,3,40.78261979803922
10584,4,185.0,3,21.03326988,105.8167038,1.54,2,31.97336085276121
7071,2,71.0,2,20.95658875,105.8448868,9.52,2,36.2143279080696
5035,4,225.0,3,20.98345757,105.7856445,6.24,3,29.47436577494382
7877,1,35.0,1,20.9975127,105.8618274,7.3,0,53.01724138
9927,3,135.0,2,21.04423332,105.7673187,3.74,0,24.99010971125
7304,3,119.0,2,21.01434898,105.7964096,2.98,2,29.421935480234374
10090,2,79.0,2,20.99599457,105.8612671,7.35,0,16.144585905806455
2932,1,145.0,3,21.07213593,105.810997,2.99,0,51.44221442991667
10946,3,80.0,2,21.0118082,105.8083617,3.13,3,25.501328313571435
9920,3,105.0,2,21.04431725,105.877861,7.32,3,42.47298091189728
4060,2,68.0,2,20.96728516,105.7781754,8.02,3,41.16089476627452
1818,2,75.0,2,20.97309303,105.8383713,7.75,1,36.997121721481484
4392,3,135.0,2,21.00048828,105.8071594,4.25,4,58.69565217
806,2,69.9,2,21.00485,105.7281,8.55,0,26.606092226666668
2885,3,103.8,2,21.05967522,105.8040771,1.68,2,52.8215801178218
3854,3,114.0,2,20.98483658,105.8598557,8.01,1,39.11820027096775
251,3,98.0,2,20.97602463,105.7615967,7.96,1,29.47436577494382
9620,3,110.0,2,21.06348991,105.7949295,2.28,1,34.83470967647886
9652,5,236.0,4,20.99870872,105.8119812,4.48,4,36.75501067625
2255,3,94.0,2,20.99804688,105.8035431,4.49,5,92.80000000000001
8245,3,104.0,2,21.03597832,105.9062958,10.18,1,82.0
10968,2,84.0,2,20.96345901,105.762764,8.99,2,45.785531112499996
1756,2,74.3,2,20.97309303,105.8383713,7.75,1,40.002753821666666
7724,1,50.0,1,20.99843788,105.8667374,7.63,0,42.51017533498023
2560,2,68.0,2,20.95990562,105.7918015,8.4,2,73.46153846499999
6637,3,82.0,2,21.06550217,105.8883133,8.66,2,38.26693897742767
3683,3,170.0,3,21.0201683,105.7807541,3.3,0,37.50898130888889
6924,2,77.0,2,21.08234978,105.8717575,7.78,0,50.66666667
2778,3,160.0,3,21.06970978,105.8112106,2.76,0,33.309943365573766
10765,2,60.5,2,21.01677322,105.9501877,14.78,1,40.58928478142857
2187,2,86.0,2,20.97986794,105.7439194,8.76,0,63.54593627042552
6892,3,110.0,2,20.99727631,105.8029861,4.57,5,31.466718974210526
2055,1,49.0,1,20.95757484,105.8069,8.54,1,49.2362780409137
5614,3,91.97,2,21.08827972,105.8004074,4.56,0,37.16467021571428
10505,2,75.1,2,21.01028824,105.9401245,13.93,1,30.863263385
4173,3,65.0,2,21.00522614,105.7389145,7.58,0,33.25419248095239
7121,2,49.0,2,21.0186842,105.838221,4.14,2,31.840390672637355
1433,2,80.0,2,20.96246719,105.792366,8.14,2,48.53420869736843
6132,2,66.0,2,21.03597832,105.9062958,10.18,1,46.68944766558065
5883,2,65.0,2,21.00481796,105.8046722,3.81,4,40.78261979803922
7850,2,70.0,2,20.95850182,105.8263474,8.72,1,25.0677157177922
10836,2,72.0,1,20.96359825,105.8280334,8.27,1,86.23251540888889
136,3,86.0,2,20.98373795,105.8515625,7.55,1,25.165343916666664
2132,3,110.0,2,21.01434898,105.7964096,2.98,2,42.22566493254754
4987,3,91.0,2,21.03510475,105.7655411,3.99,0,105.8200528747826
10663,3,94.0,2,21.0124321,105.767395,4.82,0,40.772538883532114
1386,3,161.9,2,21.07865143,105.8026123,3.58,0,42.56890168615384
2765,2,54.3,2,20.9732914,105.8200073,7.13,0,46.48048109925925
3981,3,95.8,2,21.00298119,105.7320557,8.29,0,22.028132770000003
7899,2,48.0,1,21.0255158,105.8275913,2.88,1,40.54531305609756
1313,2,72.0,2,21.02724648,105.7860107,2.44,0,30.620408801742432
2067,3,92.0,2,20.99843788,105.8667374,7.63,0,35.28433200590909
2584,2,70.0,2,20.9908123,105.7839127,5.61,1,41.77777777666667
3423,2,58.0,1,21.07865143,105.8026123,3.58,0,55.35714286
1871,1,36.0,1,21.00278,105.945465,14.64,0,48.891541308372105
6194,2,55.0,1,21.00885201,105.7439194,6.97,0,56.69375893433627
4984,3,92.0,3,20.9952507,105.7844086,5.18,1,50.3662642159785
9468,1,36.0,1,21.0260381,105.8398772,3.9,4,47.73140184607144
7539,2,62.0,2,20.97953796,105.8416138,7.33,1,46.95652174
9437,1,76.0,2,21.06409264,105.8097382,2.18,1,39.7645336716587
1209,1,49.0,1,21.0024147,105.9641113,16.45,0,41.81862319298076
3207,2,52.0,1,21.00657463,105.7450485,6.99,0,35.97465177415094
3016,3,117.0,2,20.97366714,105.7587128,8.31,1,18.846153849999997
6224,1,35.0,1,21.00580597,105.7943726,3.85,2,42.47298091189728
8986,3,100.0,2,20.9919548,105.7851028,5.46,1,22.282967031666665
9134,2,33.0,2,20.9877606,105.8006384,5.53,3,40.772538883532114
1067,2,72.0,2,21.07016945,105.9068375,10.57,2,64.95000000000002
4900,2,73.0,2,20.97602463,105.7615967,7.96,1,68.59787277538464
1155,3,127.0,2,20.97843933,105.772644,7.2,2,42.827488438598515
121,3,98.4,2,21.07865143,105.8026123,3.58,0,54.65116279
7611,3,100.0,2,21.02741051,105.7935104,1.91,0,45.59801372432788
614,1,45.1,1,21.02358246,105.8052292,1.93,3,42.51017533498023
8856,3,80.0,2,21.0024147,105.9641113,16.45,0,36.819693647115386
8831,2,80.0,2,20.99599457,105.8612671,7.35,0,38.294476727500005
4230,2,85.0,2,21.08014297,105.8136902,3.83,0,48.294649594285715
10536,3,126.0,2,21.06357574,105.795311,2.27,1,25.78306878166666
932,3,85.0,2,21.06510162,105.8886566,8.68,2,53.051870726551705
4215,2,64.0,2,21.00885201,105.7439194,6.97,0,21.808167642857143
6457,2,83.0,2,20.99433327,105.8675613,7.94,0,44.06305731839625
225,2,45.0,1,20.97776985,105.836113,7.23,1,40.78261979803922
46,2,63.0,2,21.0024147,105.9641113,16.45,0,51.46623950730161
164,3,137.0,2,20.98651886,105.7863998,5.93,1,38.51367135636363
6551,2,55.0,2,20.98554039,105.7989426,5.77,2,41.10315912625
6647,3,164.0,2,21.00557899,105.8037491,3.74,3,29.47436577494382
2515,2,63.5,1,20.95438957,105.7445679,10.7,0,25.34920635
6889,2,91.0,2,20.97332001,105.7782822,7.45,4,77.33569982852941
7924,2,71.0,2,20.95890427,105.8381805,9.04,2,36.30718753752941
8182,2,68.0,2,20.99835014,105.806366,4.46,4,20.945178224
1310,3,95.0,2,20.97447205,105.7608795,8.13,1,41.455233135
4289,4,203.0,2,21.02097893,105.7910614,2.58,2,32.035763398250005
8539,3,130.0,2,20.99993896,105.8363724,5.34,3,32.75127179939393
9836,3,135.0,3,21.00048828,105.8071594,4.25,4,50.94389649645573
1863,3,94.0,2,21.03272629,105.753746,5.2,1,32.035763398250005
4459,3,90.0,2,20.97309303,105.8383713,7.75,1,37.737572516
1000,2,67.0,2,21.03512001,105.7674332,3.81,0,46.48048109925925
5954,3,99.0,2,21.08234978,105.8717575,7.78,0,48.24195417898303
985,3,126.0,2,20.99069977,105.8142776,5.31,2,48.42873491924055
7406,4,156.0,2,20.9934864,105.8069077,4.95,5,26.351380297413787
7807,3,125.0,2,21.00896263,105.793129,3.59,2,40.63517064086957
4471,3,96.8,2,21.00968742,105.7215958,8.95,0,24.17822552666666
59,1,47.0,1,21.00885201,105.7439194,6.97,0,37.57094462070708
6814,1,31.0,1,21.0024147,105.9641113,16.45,0,29.595703978018012
345,3,101.0,2,20.97309303,105.8383713,7.75,1,32.99360754642858
7169,2,61.0,1,21.07024574,105.7914734,3.04,1,31.180465448750002
1900,1,31.0,1,21.0024147,105.9641113,16.45,0,36.42392381766667
7357,3,115.0,2,21.01743507,105.7803955,3.52,0,42.55319149
1615,3,119.6,2,21.00557899,105.8037491,3.74,3,31.251498292227275
3795,2,62.0,2,20.98009872,105.8742447,9.37,0,36.68857754499999
5285,2,71.2,2,20.99629784,105.8056335,4.66,5,34.83470967647886
9163,3,116.0,2,21.04423332,105.7673187,3.74,0,33.309943365573766
2664,4,127.0,3,20.94645882,105.8557816,10.92,3,40.14126406291203
4178,2,66.0,2,21.04615211,105.9156494,11.1,1,75.0
3586,2,70.0,1,20.93970299,105.7872543,10.47,0,33.25419248095239
7365,2,91.0,2,21.01682663,105.8152237,2.81,4,35.141638744
4822,3,100.0,2,20.94645882,105.8557816,10.92,3,22.92307692
9434,2,70.0,2,20.96246719,105.792366,8.14,2,33.25419248095239
6062,3,103.0,2,21.00522614,105.8050613,3.77,4,44.563188153750026
6856,3,86.3,2,21.07024574,105.7914734,3.04,1,32.3360188855
5021,2,75.0,2,20.97309303,105.8383713,7.75,1,37.29791907292309
10723,2,74.0,2,20.96246719,105.792366,8.14,2,29.387455270735295
9462,4,132.0,3,21.06575012,105.7982101,2.37,1,36.2143279080696
4384,3,82.0,2,21.0307312,105.7613297,4.51,1,31.428350968666674
5305,2,54.0,1,20.9525795,105.757576,10.19,0,56.69375893433627
4898,2,74.8,2,20.97602463,105.7615967,7.96,1,40.75432341090907
565,2,81.7,2,21.02216148,105.7717972,3.89,0,41.27110101
2184,2,90.0,2,21.04785919,105.8846817,8.01,4,26.259712095
1185,2,77.0,2,21.05226898,105.8848114,8.06,5,38.08179526448981
8134,1,43.0,1,20.99927711,105.7381134,7.96,0,39.96226167020533
8975,1,50.0,1,21.0499622,105.7897558,1.65,1,41.16089476627452
5468,1,45.0,1,21.07284927,105.8124313,3.09,0,51.74092124072558
4536,2,78.0,2,21.04423332,105.7673187,3.74,0,40.45391580483333
6331,2,73.0,2,21.0201683,105.7807541,3.3,0,47.73140184607144
1352,2,120.0,2,20.99479103,105.8678436,7.94,0,44.87000815700001
3702,3,100.0,2,21.00346756,105.8024445,3.95,4,29.47436577494382
1593,2,98.0,2,20.98651886,105.7863998,5.93,1,37.46841051081081
2875,2,70.0,2,20.95020294,105.791069,9.37,1,60.0
4047,2,48.0,1,21.0086145,105.834091,4.52,2,85.94500881333335
10375,3,80.5,2,20.95977592,105.7418823,10.42,0,49.53458839333334
5914,2,69.0,2,21.04118156,105.7353592,6.94,1,30.397952924285715
7748,2,70.0,2,20.99893761,105.8801956,8.74,0,40.64986659190477
10140,3,100.0,2,21.04437256,105.8032303,0.21,2,37.941520465
9008,2,70.0,2,21.0024147,105.9641113,16.45,0,28.56496189423077
1874,3,118.0,2,21.00056,105.80292,4.24,4,47.17010199727274
7395,3,160.0,2,20.95828247,105.7671967,9.26,2,37.16467021571428
7677,3,100.0,2,21.04044151,105.7807159,2.41,1,31.840390672637355
2801,2,86.0,2,21.03656769,105.7604828,4.47,1,25.8302583
5650,4,230.0,3,20.98345757,105.7856445,6.24,3,40.75425167444444
6688,3,164.0,2,21.00557899,105.8037491,3.74,3,21.28338459833334
4244,2,47.0,1,21.00893211,105.7440033,6.96,0,25.554112553333333
4921,2,71.0,2,20.98464203,105.7747192,6.55,3,39.932643342241384
4739,2,75.0,2,20.9732914,105.8200073,7.13,0,41.10315912625
1116,2,65.45,2,21.03597832,105.9062958,10.18,1,38.266804655486105
2190,2,68.0,2,20.9732914,105.8200073,7.13,0,44.66666667
824,2,55.0,2,20.95438957,105.7445679,10.7,0,24.297927719655174
6117,2,80.0,2,21.04015923,105.7613144,4.35,1,36.65642231045455
8291,2,50.0,1,20.9965735,105.8427701,6.0,3,24.0
6524,2,96.0,2,20.98543167,105.8393402,6.71,2,45.03816794
7596,3,85.0,2,20.97634506,105.7614975,7.94,1,40.949341688000004
4831,3,133.0,2,21.02114296,105.8093491,2.23,3,56.954438496521746
9285,2,75.0,2,21.01414871,105.7887268,3.29,2,45.785531112499996
10135,3,135.0,2,21.04117203,105.8250961,2.05,4,37.47379576267609
8635,2,64.0,2,20.99816513,105.801506,4.49,5,54.817736634615386
6259,1,46.5,1,21.0024147,105.9641113,16.45,0,21.66666667
8690,3,77.0,2,21.00580597,105.7943726,3.85,2,33.5223449797561
703,2,48.0,1,21.0194587,105.8277431,3.29,2,44.164961169012365
5427,3,117.0,2,20.96345901,105.762764,8.99,2,49.028477567743565
10558,2,62.0,2,21.07024574,105.7914734,3.04,1,45.85464961730435
7789,3,121.0,2,21.03413582,105.7641068,4.15,1,27.96582478606557
2321,2,72.0,2,21.00580597,105.7943726,3.85,2,36.2837991375
4761,2,77.8,2,20.98434067,105.7768097,6.49,3,29.421935480234374
10513,2,75.1,2,21.01028824,105.9401245,13.93,1,42.785250421666674
7135,1,48.0,1,20.9732914,105.8200073,7.13,0,26.52117539769231
5383,4,127.0,3,20.94645882,105.8557816,10.92,3,35.31204841790323
10610,2,71.2,2,21.01609802,105.7924881,2.95,2,35.42236003066666
411,2,75.0,1,21.06269073,105.9083328,10.55,2,27.18168813
3768,2,62.0,2,20.98009872,105.8742447,9.37,0,46.557077624
6681,3,83.0,2,20.99727631,105.8029861,4.57,5,31.86681315942856
2294,2,68.0,2,21.02097893,105.7910614,2.58,2,32.0
8713,3,81.0,2,21.02216148,105.7717972,3.89,0,34.60284915315506
6173,2,70.0,2,21.03040504,105.7770309,3.04,0,42.51017533498023
5050,3,140.0,2,21.06587982,105.801384,2.32,1,39.64228783093022
1033,3,85.0,2,21.05760002,105.8845978,8.12,2,57.58928571750001
474,2,71.0,2,21.00580597,105.7943726,3.85,2,36.30718753752941
4206,2,76.0,2,20.99479103,105.8678436,7.94,0,37.71108017627271
