id,room,area,toilet,x,y,khoang_cach,n_hospital,price
5197,3,78.0,2,21.04431725,105.877861,7.32,3,31.80138682652039
4492,2,66.38,2,20.98306274,105.809082,6.0,3,17.545912501660087
7588,2,54.0,1,21.00885201,105.7439194,6.97,0,47.437682949180946
1175,3,110.7,2,21.06583977,105.7981491,2.38,1,51.057785302640426
1194,3,100.0,2,21.08234978,105.8717575,7.78,0,43.92400553647539
941,2,58.0,1,21.07865143,105.8026123,3.58,0,20.851131376464
10015,3,94.0,2,21.03445816,105.7696533,3.61,0,36.758613503297845
10213,1,30.0,1,21.00893211,105.7440033,6.96,0,42.843870763822125
10790,2,58.0,1,21.05119324,105.7936401,1.38,1,44.67918337215822
7364,2,35.0,1,20.998032,105.8503425,6.4,3,44.98376847484818
10584,4,185.0,3,21.03326988,105.8167038,1.54,2,27.736624478181817
7071,2,71.0,2,20.95658875,105.8448868,9.52,2,36.94010412262747
5035,4,225.0,3,20.98345757,105.7856445,6.24,3,30.970542378759763
7877,1,35.0,1,20.9975127,105.8618274,7.3,0,55.729405915952455
9927,3,135.0,2,21.04423332,105.7673187,3.74,0,24.97944879264687
7304,3,119.0,2,21.01434898,105.7964096,2.98,2,27.87848253609521
10090,2,79.0,2,20.99599457,105.8612671,7.35,0,15.292303899452381
2932,1,145.0,3,21.07213593,105.810997,2.99,0,50.22928715976144
10946,3,80.0,2,21.0118082,105.8083617,3.13,3,23.932409031516418
9920,3,105.0,2,21.04431725,105.877861,7.32,3,45.10234423924639
4060,2,68.0,2,20.96728516,105.7781754,8.02,3,41.699093426420106
1818,2,75.0,2,20.97309303,105.8383713,7.75,1,41.67229420522018
4392,3,135.0,2,21.00048828,105.8071594,4.25,4,54.75104583645016
806,2,69.9,2,21.00485,105.7281,8.55,0,24.021566877362392
2885,3,103.8,2,21.05967522,105.8040771,1.68,2,43.18608911688022
3854,3,114.0,2,20.98483658,105.8598557,8.01,1,37.069499469737366
251,3,98.0,2,20.97602463,105.7615967,7.96,1,30.91474293933119
9620,3,110.0,2,21.06348991,105.7949295,2.28,1,35.099037884484915
9652,5,236.0,4,20.99870872,105.8119812,4.48,4,36.412158907800745
2255,3,94.0,2,20.99804688,105.8035431,4.49,5,92.78494697131592
8245,3,104.0,2,21.03597832,105.9062958,10.18,1,61.00945994556169
10968,2,84.0,2,20.96345901,105.762764,8.99,2,42.91441757607395
1756,2,74.3,2,20.97309303,105.8383713,7.75,1,38.39598193000196
7724,1,50.0,1,20.99843788,105.8667374,7.63,0,42.10338435185723
2560,2,68.0,2,20.95990562,105.7918015,8.4,2,73.80070470553335
6637,3,82.0,2,21.06550217,105.8883133,8.66,2,40.171593786214785
3683,3,170.0,3,21.0201683,105.7807541,3.3,0,39.559912128702386
6924,2,77.0,2,21.08234978,105.8717575,7.78,0,45.655349469260216
2778,3,160.0,3,21.06970978,105.8112106,2.76,0,35.853512779784566
10765,2,60.5,2,21.01677322,105.9501877,14.78,1,41.15580205245847
2187,2,86.0,2,20.97986794,105.7439194,8.76,0,48.260600906613135
6892,3,110.0,2,20.99727631,105.8029861,4.57,5,35.682359707352425
2055,1,49.0,1,20.95757484,105.8069,8.54,1,37.28969911827254
5614,3,91.97,2,21.08827972,105.8004074,4.56,0,39.03887996491692
10505,2,75.1,2,21.01028824,105.9401245,13.93,1,29.606651344268098
4173,3,65.0,2,21.00522614,105.7389145,7.58,0,34.640390913441536
7121,2,49.0,2,21.0186842,105.838221,4.14,2,29.822097501790406
1433,2,80.0,2,20.96246719,105.792366,8.14,2,47.15027434840116
6132,2,66.0,2,21.03597832,105.9062958,10.18,1,45.661190218818575
5883,2,65.0,2,21.00481796,105.8046722,3.81,4,41.816225157402414
7850,2,70.0,2,20.95850182,105.8263474,8.72,1,24.455264657804975
10836,2,72.0,1,20.96359825,105.8280334,8.27,1,86.99086398666115
136,3,86.0,2,20.98373795,105.8515625,7.55,1,23.30613125339838
2132,3,110.0,2,21.01434898,105.7964096,2.98,2,43.66044717139669
4987,3,91.0,2,21.03510475,105.7655411,3.99,0,109.276627486391
10663,3,94.0,2,21.0124321,105.767395,4.82,0,41.85654421927027
1386,3,161.9,2,21.07865143,105.8026123,3.58,0,43.74439723014332
2765,2,54.3,2,20.9732914,105.8200073,7.13,0,43.32100925299094
3981,3,95.8,2,21.00298119,105.7320557,8.29,0,22.896756108073404
7899,2,48.0,1,21.0255158,105.8275913,2.88,1,41.900976074164355
1313,2,72.0,2,21.02724648,105.7860107,2.44,0,32.44349307977906
2067,3,92.0,2,20.99843788,105.8667374,7.63,0,37.6004240482074
2584,2,70.0,2,20.9908123,105.7839127,5.61,1,45.655349469260216
3423,2,58.0,1,21.07865143,105.8026123,3.58,0,59.82821060492236
1871,1,36.0,1,21.00278,105.945465,14.64,0,52.009555073331036
6194,2,55.0,1,21.00885201,105.7439194,6.97,0,55.81791756727346
4984,3,92.0,3,20.9952507,105.7844086,5.18,1,50.2775863795555
9468,1,36.0,1,21.0260381,105.8398772,3.9,4,52.009555073331036
7539,2,62.0,2,20.97953796,105.8416138,7.33,1,43.18884974638828
9437,1,76.0,2,21.06409264,105.8097382,2.18,1,43.00119567170776
1209,1,49.0,1,21.0024147,105.9641113,16.45,0,42.10338435185723
3207,2,52.0,1,21.00657463,105.7450485,6.99,0,36.82006089499544
3016,3,117.0,2,20.97366714,105.7587128,8.31,1,18.50010805406541
6224,1,35.0,1,21.00580597,105.7943726,3.85,2,42.07597307945018
