id,room,area,toilet,x,y,khoang_cach,n_hospital,Price_pred
5197,3,78.0,2,21.04431725,105.877861,7.32,3,33.09352518
4492,2,66.38,2,20.98306274,105.809082,6.0,3,15.651679
7588,2,54.0,1,21.00885201,105.7439194,6.97,0,47.14285714
1175,3,110.7,2,21.06583977,105.7981491,2.38,1,57.587074300000005
1194,3,100.0,2,21.08234978,105.8717575,7.78,0,46.986512686875
941,2,58.0,1,21.07865143,105.8026123,3.58,0,19.55555556
10015,3,94.0,2,21.03445816,105.7696533,3.61,0,35.848313865714275
10213,1,30.0,1,21.00893211,105.7440033,6.96,0,40.986842105
10790,2,58.0,1,21.05119324,105.7936401,1.38,1,39.77900552
7364,2,35.0,1,20.998032,105.8503425,6.4,3,37.547531326000005
10584,4,185.0,3,21.03326988,105.8167038,1.54,2,27.43362832
7071,2,71.0,2,20.95658875,105.8448868,9.52,2,38.546655812758615
5035,4,225.0,3,20.98345757,105.7856445,6.24,3,30.50193050142857
7877,1,35.0,1,20.9975127,105.8618274,7.3,0,62.06896552
9927,3,135.0,2,21.04423332,105.7673187,3.74,0,26.00382409
7304,3,119.0,2,21.01434898,105.7964096,2.98,2,26.64682539777778
10090,2,79.0,2,20.99599457,105.8612671,7.35,0,13.02325581
2932,1,145.0,3,21.07213593,105.810997,2.99,0,56.73076923
10946,3,80.0,2,21.0118082,105.8083617,3.13,3,22.623059866363636
9920,3,105.0,2,21.04431725,105.877861,7.32,3,43.90243902
4060,2,68.0,2,20.96728516,105.7781754,8.02,3,41.9342581180851
1818,2,75.0,2,20.97309303,105.8383713,7.75,1,41.9342581180851
4392,3,135.0,2,21.00048828,105.8071594,4.25,4,58.69565217000001
806,2,69.9,2,21.00485,105.7281,8.55,0,24.252491692857145
2885,3,103.8,2,21.05967522,105.8040771,1.68,2,54.83870968
3854,3,114.0,2,20.98483658,105.8598557,8.01,1,40.0
251,3,98.0,2,20.97602463,105.7615967,7.96,1,30.1369863
9620,3,110.0,2,21.06348991,105.7949295,2.28,1,35.14851485
9652,5,236.0,4,20.99870872,105.8119812,4.48,4,36.941132793733345
2255,3,94.0,2,20.99804688,105.8035431,4.49,5,89.01818181818182
8245,3,104.0,2,21.03597832,105.9062958,10.18,1,71.81818182
10968,2,84.0,2,20.96345901,105.762764,8.99,2,41.23655914333333
1756,2,74.3,2,20.97309303,105.8383713,7.75,1,35.0877193
7724,1,50.0,1,20.99843788,105.8667374,7.63,0,41.747114586842116
2560,2,68.0,2,20.95990562,105.7918015,8.4,2,73.33333333666667
6637,3,82.0,2,21.06550217,105.8883133,8.66,2,42.85714286
3683,3,170.0,3,21.0201683,105.7807541,3.3,0,35.71428571
6924,2,77.0,2,21.08234978,105.8717575,7.78,0,48.00000000200001
2778,3,160.0,3,21.06970978,105.8112106,2.76,0,39.54372624
10765,2,60.5,2,21.01677322,105.9501877,14.78,1,39.68031968
2187,2,86.0,2,20.97986794,105.7439194,8.76,0,71.57894737
6892,3,110.0,2,20.99727631,105.8029861,4.57,5,28.313953488
2055,1,49.0,1,20.95757484,105.8069,8.54,1,50.46728972
5614,3,91.97,2,21.08827972,105.8004074,4.56,0,39.39774575516129
10505,2,75.1,2,21.01028824,105.9401245,13.93,1,26.0
4173,3,65.0,2,21.00522614,105.7389145,7.58,0,32.27272727181818
7121,2,49.0,2,21.0186842,105.838221,4.14,2,28.682539682777776
1433,2,80.0,2,20.96246719,105.792366,8.14,2,47.754001405625
6132,2,66.0,2,21.03597832,105.9062958,10.18,1,48.40547945200001
5883,2,65.0,2,21.00481796,105.8046722,3.81,4,31.25
7850,2,70.0,2,20.95850182,105.8263474,8.72,1,24.492753625
10836,2,72.0,1,20.96359825,105.8280334,8.27,1,83.8888888888889
136,3,86.0,2,20.98373795,105.8515625,7.55,1,24.30555556
2132,3,110.0,2,21.01434898,105.7964096,2.98,2,48.27586207
4987,3,91.0,2,21.03510475,105.7655411,3.99,0,108.1081081
