id,room,area,toilet,x,y,khoang_cach,n_hospital,price
5197,3,78.0,2,21.04431725,105.877861,7.32,3,39.566084274735516
4492,2,66.38,2,20.98306274,105.809082,6.0,3,39.566084274735516
7588,2,54.0,1,21.00885201,105.7439194,6.97,0,39.566084274735516
1175,3,110.7,2,21.06583977,105.7981491,2.38,1,39.566084274735516
1194,3,100.0,2,21.08234978,105.8717575,7.78,0,39.566084274735516
941,2,58.0,1,21.07865143,105.8026123,3.58,0,39.566084274735516
10015,3,94.0,2,21.03445816,105.7696533,3.61,0,39.566084274735516
10213,1,30.0,1,21.00893211,105.7440033,6.96,0,39.566084274735516
10790,2,58.0,1,21.05119324,105.7936401,1.38,1,39.566084274735516
7364,2,35.0,1,20.998032,105.8503425,6.4,3,39.566084274735516
10584,4,185.0,3,21.03326988,105.8167038,1.54,2,39.566084274735516
7071,2,71.0,2,20.95658875,105.8448868,9.52,2,39.566084274735516
5035,4,225.0,3,20.98345757,105.7856445,6.24,3,39.566084274735516
7877,1,35.0,1,20.9975127,105.8618274,7.3,0,39.566084274735516
9927,3,135.0,2,21.04423332,105.7673187,3.74,0,39.566084274735516
7304,3,119.0,2,21.01434898,105.7964096,2.98,2,39.566084274735516
10090,2,79.0,2,20.99599457,105.8612671,7.35,0,39.566084274735516
2932,1,145.0,3,21.07213593,105.810997,2.99,0,39.566084274735516
10946,3,80.0,2,21.0118082,105.8083617,3.13,3,39.566084274735516
9920,3,105.0,2,21.04431725,105.877861,7.32,3,39.566084274735516
4060,2,68.0,2,20.96728516,105.7781754,8.02,3,39.566084274735516
1818,2,75.0,2,20.97309303,105.8383713,7.75,1,39.566084274735516
4392,3,135.0,2,21.00048828,105.8071594,4.25,4,39.566084274735516
806,2,69.9,2,21.00485,105.7281,8.55,0,39.566084274735516
2885,3,103.8,2,21.05967522,105.8040771,1.68,2,39.566084274735516
3854,3,114.0,2,20.98483658,105.8598557,8.01,1,39.566084274735516
251,3,98.0,2,20.97602463,105.7615967,7.96,1,39.566084274735516
9620,3,110.0,2,21.06348991,105.7949295,2.28,1,39.566084274735516
9652,5,236.0,4,20.99870872,105.8119812,4.48,4,39.566084274735516
2255,3,94.0,2,20.99804688,105.8035431,4.49,5,39.566084274735516
8245,3,104.0,2,21.03597832,105.9062958,10.18,1,39.566084274735516
10968,2,84.0,2,20.96345901,105.762764,8.99,2,39.566084274735516
1756,2,74.3,2,20.97309303,105.8383713,7.75,1,39.566084274735516
7724,1,50.0,1,20.99843788,105.8667374,7.63,0,39.566084274735516
2560,2,68.0,2,20.95990562,105.7918015,8.4,2,39.566084274735516
