id,room,area,toilet,x,y,khoang_cach,n_hospital,price
5197,3,78.0,2,21.04431725,105.877861,7.32,3,25.052335601473683
4492,2,66.38,2,20.98306274,105.809082,6.0,3,27.139958111641587
7588,2,54.0,1,21.00885201,105.7439194,6.97,0,36.185594757225175
1175,3,110.7,2,21.06583977,105.7981491,2.38,1,47.76012558652647
1194,3,100.0,2,21.08234978,105.8717575,7.78,0,41.1092260482155
941,2,58.0,1,21.07865143,105.8026123,3.58,0,39.843618790000995
10015,3,94.0,2,21.03445816,105.7696533,3.61,0,45.69973590330296
10213,1,30.0,1,21.00893211,105.7440033,6.96,0,37.05117791193977
10790,2,58.0,1,21.05119324,105.7936401,1.38,1,51.91076095529937
7364,2,35.0,1,20.998032,105.8503425,6.4,3,43.096994859007964
10584,4,185.0,3,21.03326988,105.8167038,1.54,2,29.20928331144992
7071,2,71.0,2,20.95658875,105.8448868,9.52,2,38.55658501101101
5035,4,225.0,3,20.98345757,105.7856445,6.24,3,34.07936498868796
7877,1,35.0,1,20.9975127,105.8618274,7.3,0,45.15210201422618
9927,3,135.0,2,21.04423332,105.7673187,3.74,0,31.484981851445944
7304,3,119.0,2,21.01434898,105.7964096,2.98,2,36.07286141171968
10090,2,79.0,2,20.99599457,105.8612671,7.35,0,43.32038092376105
2932,1,145.0,3,21.07213593,105.810997,2.99,0,44.6039374017264
10946,3,80.0,2,21.0118082,105.8083617,3.13,3,40.927317879701164
9920,3,105.0,2,21.04431725,105.877861,7.32,3,47.30474102276805
4060,2,68.0,2,20.96728516,105.7781754,8.02,3,41.78214677201201
1818,2,75.0,2,20.97309303,105.8383713,7.75,1,43.4911729175072
4392,3,135.0,2,21.00048828,105.8071594,4.25,4,49.174285678299455
806,2,69.9,2,21.00485,105.7281,8.55,0,20.76214880867703
2885,3,103.8,2,21.05967522,105.8040771,1.68,2,43.88475405835253
3854,3,114.0,2,20.98483658,105.8598557,8.01,1,41.46902553743088
251,3,98.0,2,20.97602463,105.7615967,7.96,1,33.95747049543408
9620,3,110.0,2,21.06348991,105.7949295,2.28,1,38.534204136776246
9652,5,236.0,4,20.99870872,105.8119812,4.48,4,38.96972884525575
2255,3,94.0,2,20.99804688,105.8035431,4.49,5,51.219352343267296
8245,3,104.0,2,21.03597832,105.9062958,10.18,1,54.144302897324806
10968,2,84.0,2,20.96345901,105.762764,8.99,2,29.761528073190046
1756,2,74.3,2,20.97309303,105.8383713,7.75,1,53.49280840922002
7724,1,50.0,1,20.99843788,105.8667374,7.63,0,31.847872252412163
2560,2,68.0,2,20.95990562,105.7918015,8.4,2,44.478312299043395
6637,3,82.0,2,21.06550217,105.8883133,8.66,2,40.03211904055501
3683,3,170.0,3,21.0201683,105.7807541,3.3,0,38.43783757890259
6924,2,77.0,2,21.08234978,105.8717575,7.78,0,52.41241111923695
2778,3,160.0,3,21.06970978,105.8112106,2.76,0,34.82603058347822
10765,2,60.5,2,21.01677322,105.9501877,14.78,1,44.459637984369095
2187,2,86.0,2,20.97986794,105.7439194,8.76,0,48.879505806483095
6892,3,110.0,2,20.99727631,105.8029861,4.57,5,42.06875512164465
2055,1,49.0,1,20.95757484,105.8069,8.54,1,42.37109898647089
5614,3,91.97,2,21.08827972,105.8004074,4.56,0,38.70388921629479
10505,2,75.1,2,21.01028824,105.9401245,13.93,1,42.92116574871819
4173,3,65.0,2,21.00522614,105.7389145,7.58,0,37.94049010564303
7121,2,49.0,2,21.0186842,105.838221,4.14,2,28.004763296597613
1433,2,80.0,2,20.96246719,105.792366,8.14,2,50.57744734503437
6132,2,66.0,2,21.03597832,105.9062958,10.18,1,39.789185732150855
5883,2,65.0,2,21.00481796,105.8046722,3.81,4,37.29238594006766
7850,2,70.0,2,20.95850182,105.8263474,8.72,1,31.32909996859577
10836,2,72.0,1,20.96359825,105.8280334,8.27,1,50.63380846056596
136,3,86.0,2,20.98373795,105.8515625,7.55,1,29.552504921640487
2132,3,110.0,2,21.01434898,105.7964096,2.98,2,41.43500861734456
4987,3,91.0,2,21.03510475,105.7655411,3.99,0,60.878107810652175
10663,3,94.0,2,21.0124321,105.767395,4.82,0,30.87013534800119
1386,3,161.9,2,21.07865143,105.8026123,3.58,0,47.20009721202814
2765,2,54.3,2,20.9732914,105.8200073,7.13,0,44.177070822493306
3981,3,95.8,2,21.00298119,105.7320557,8.29,0,34.14039750107597
7899,2,48.0,1,21.0255158,105.8275913,2.88,1,44.848477586675806
1313,2,72.0,2,21.02724648,105.7860107,2.44,0,29.575472920855162
2067,3,92.0,2,20.99843788,105.8667374,7.63,0,40.285024480718995
2584,2,70.0,2,20.9908123,105.7839127,5.61,1,48.75559435109835
3423,2,58.0,1,21.07865143,105.8026123,3.58,0,39.932959527140724
1871,1,36.0,1,21.00278,105.945465,14.64,0,42.984052594529395
6194,2,55.0,1,21.00885201,105.7439194,6.97,0,41.58369948532503
4984,3,92.0,3,20.9952507,105.7844086,5.18,1,40.37654730175166
9468,1,36.0,1,21.0260381,105.8398772,3.9,4,42.37458012825996
7539,2,62.0,2,20.97953796,105.8416138,7.33,1,46.19147481262601
9437,1,76.0,2,21.06409264,105.8097382,2.18,1,40.030532516303374
1209,1,49.0,1,21.0024147,105.9641113,16.45,0,31.421241526023564
3207,2,52.0,1,21.00657463,105.7450485,6.99,0,37.70843208336733
3016,3,117.0,2,20.97366714,105.7587128,8.31,1,30.876652794629592
6224,1,35.0,1,21.00580597,105.7943726,3.85,2,42.847018258992605
8986,3,100.0,2,20.9919548,105.7851028,5.46,1,43.86043623479973
9134,2,33.0,2,20.9877606,105.8006384,5.53,3,29.288087894080547
1067,2,72.0,2,21.07016945,105.9068375,10.57,2,53.49547754474418
4900,2,73.0,2,20.97602463,105.7615967,7.96,1,50.732828966885975
1155,3,127.0,2,20.97843933,105.772644,7.2,2,38.520156449303805
121,3,98.4,2,21.07865143,105.8026123,3.58,0,45.515204535607964
7611,3,100.0,2,21.02741051,105.7935104,1.91,0,40.19498081857119
614,1,45.1,1,21.02358246,105.8052292,1.93,3,31.969766745666046
8856,3,80.0,2,21.0024147,105.9641113,16.45,0,45.69973590330296
8831,2,80.0,2,20.99599457,105.8612671,7.35,0,39.157581670078194
4230,2,85.0,2,21.08014297,105.8136902,3.83,0,40.27934466354628
10536,3,126.0,2,21.06357574,105.795311,2.27,1,40.80284242806739
932,3,85.0,2,21.06510162,105.8886566,8.68,2,39.909007509641334
4215,2,64.0,2,21.00885201,105.7439194,6.97,0,27.959089106307704
6457,2,83.0,2,20.99433327,105.8675613,7.94,0,45.47632362395975
225,2,45.0,1,20.97776985,105.836113,7.23,1,38.7551198591143
46,2,63.0,2,21.0024147,105.9641113,16.45,0,47.75069159435366
164,3,137.0,2,20.98651886,105.7863998,5.93,1,40.93951279900048
6551,2,55.0,2,20.98554039,105.7989426,5.77,2,44.33774349111521
6647,3,164.0,2,21.00557899,105.8037491,3.74,3,26.160238157387372
2515,2,63.5,1,20.95438957,105.7445679,10.7,0,30.708168883342285
6889,2,91.0,2,20.97332001,105.7782822,7.45,4,47.22909458778454
7924,2,71.0,2,20.95890427,105.8381805,9.04,2,39.50961181670298
8182,2,68.0,2,20.99835014,105.806366,4.46,4,31.68022435157704
1310,3,95.0,2,20.97447205,105.7608795,8.13,1,26.804482108855247
4289,4,203.0,2,21.02097893,105.7910614,2.58,2,43.16495473522596
8539,3,130.0,2,20.99993896,105.8363724,5.34,3,42.86377161001835
9836,3,135.0,3,21.00048828,105.8071594,4.25,4,41.826075556060694
1863,3,94.0,2,21.03272629,105.753746,5.2,1,43.16495473522596
4459,3,90.0,2,20.97309303,105.8383713,7.75,1,41.81067787374158
1000,2,67.0,2,21.03512001,105.7674332,3.81,0,44.177070822493306
5954,3,99.0,2,21.08234978,105.8717575,7.78,0,41.1996171300658
985,3,126.0,2,20.99069977,105.8142776,5.31,2,42.9046586749118
7406,4,156.0,2,20.9934864,105.8069077,4.95,5,33.88615036311742
7807,3,125.0,2,21.00896263,105.793129,3.59,2,40.70406896876377
4471,3,96.8,2,21.00968742,105.7215958,8.95,0,22.953668728867104
59,1,47.0,1,21.00885201,105.7439194,6.97,0,39.63501182092553
6814,1,31.0,1,21.0024147,105.9641113,16.45,0,33.59178701567242
345,3,101.0,2,20.97309303,105.8383713,7.75,1,54.19049289410638
7169,2,61.0,1,21.07024574,105.7914734,3.04,1,36.77322644757936
1900,1,31.0,1,21.0024147,105.9641113,16.45,0,39.88314374650129
7357,3,115.0,2,21.01743507,105.7803955,3.52,0,55.92851709040139
1615,3,119.6,2,21.00557899,105.8037491,3.74,3,27.76097431008984
3795,2,62.0,2,20.98009872,105.8742447,9.37,0,43.57501481166431
5285,2,71.2,2,20.99629784,105.8056335,4.66,5,30.332643766280512
9163,3,116.0,2,21.04423332,105.7673187,3.74,0,41.01866783440973
2664,4,127.0,3,20.94645882,105.8557816,10.92,3,41.827770984079386
4178,2,66.0,2,21.04615211,105.9156494,11.1,1,52.40776592835502
3586,2,70.0,1,20.93970299,105.7872543,10.47,0,37.41370083751243
7365,2,91.0,2,21.01682663,105.8152237,2.81,4,34.3514350340952
