id,room,area,toilet,x,y,khoang_cach,n_hospital,price
5197.0,3.0,78.0,2.0,21.04431725,105.877861,7.32,3.0,33.91336378519265
4492.0,2.0,66.38,2.0,20.98306274,105.809082,6.0,3.0,16.50657057769034
7588.0,2.0,54.0,1.0,21.00885201,105.7439194,6.97,0.0,31.715854188711702
1175.0,3.0,110.7,2.0,21.06583977,105.7981491,2.38,1.0,50.90124074920067
1194.0,3.0,100.0,2.0,21.08234978,105.8717575,7.78,0.0,36.16820166866124
941.0,2.0,58.0,1.0,21.07865143,105.8026123,3.58,0.0,25.96959251087604
10015.0,3.0,94.0,2.0,21.03445816,105.7696533,3.61,0.0,40.91858424910419
10213.0,1.0,30.0,1.0,21.00893211,105.7440033,6.96,0.0,41.07893047370386
10790.0,2.0,58.0,1.0,21.05119324,105.7936401,1.38,1.0,57.50713844983391
7364.0,2.0,35.0,1.0,20.998032,105.8503425,6.4,3.0,43.97612910951012
10584.0,4.0,185.0,3.0,21.03326988,105.8167038,1.54,2.0,36.61025170228348
7071.0,2.0,71.0,2.0,20.95658875,105.8448868,9.52,2.0,38.46236218175705
5035.0,4.0,225.0,3.0,20.98345757,105.7856445,6.24,3.0,29.012165436782492
7877.0,1.0,35.0,1.0,20.9975127,105.8618274,7.3,0.0,40.202967185170515
9927.0,3.0,135.0,2.0,21.04423332,105.7673187,3.74,0.0,35.92206567515686
7304.0,3.0,119.0,2.0,21.01434898,105.7964096,2.98,2.0,33.66245071937633
10090.0,2.0,79.0,2.0,20.99599457,105.8612671,7.35,0.0,25.383897678214524
2932.0,1.0,145.0,3.0,21.07213593,105.810997,2.99,0.0,44.06556699575741
10946.0,3.0,80.0,2.0,21.0118082,105.8083617,3.13,3.0,34.48182085810469
9920.0,3.0,105.0,2.0,21.04431725,105.877861,7.32,3.0,47.79066869040568
4060.0,2.0,68.0,2.0,20.96728516,105.7781754,8.02,3.0,44.47011775604148
1818.0,2.0,75.0,2.0,20.97309303,105.8383713,7.75,1.0,42.57963881276057
4392.0,3.0,135.0,2.0,21.00048828,105.8071594,4.25,4.0,59.06186148534138
806.0,2.0,69.9,2.0,21.00485,105.7281,8.55,0.0,27.297950930343465
2885.0,3.0,103.8,2.0,21.05967522,105.8040771,1.68,2.0,55.00279458778641
3854.0,3.0,114.0,2.0,20.98483658,105.8598557,8.01,1.0,35.009052554222094
251.0,3.0,98.0,2.0,20.97602463,105.7615967,7.96,1.0,28.950464512170033
9620.0,3.0,110.0,2.0,21.06348991,105.7949295,2.28,1.0,39.431304222674555
9652.0,5.0,236.0,4.0,20.99870872,105.8119812,4.48,4.0,38.263901553629154
2255.0,3.0,94.0,2.0,20.99804688,105.8035431,4.49,5.0,60.36083493223167
8245.0,3.0,104.0,2.0,21.03597832,105.9062958,10.18,1.0,69.07881455296895
10968.0,2.0,84.0,2.0,20.96345901,105.762764,8.99,2.0,39.06070891387473
1756.0,2.0,74.3,2.0,20.97309303,105.8383713,7.75,1.0,49.866950763223976
7724.0,1.0,50.0,1.0,20.99843788,105.8667374,7.63,0.0,39.0559719285163
2560.0,2.0,68.0,2.0,20.95990562,105.7918015,8.4,2.0,60.535820210976
6637.0,3.0,82.0,2.0,21.06550217,105.8883133,8.66,2.0,39.81122504027689
3683.0,3.0,170.0,3.0,21.0201683,105.7807541,3.3,0.0,37.08036578297614
6924.0,2.0,77.0,2.0,21.08234978,105.8717575,7.78,0.0,35.993454030048994
2778.0,3.0,160.0,3.0,21.06970978,105.8112106,2.76,0.0,29.37045724132937
10765.0,2.0,60.5,2.0,21.01677322,105.9501877,14.78,1.0,43.17839644559187
2187.0,2.0,86.0,2.0,20.97986794,105.7439194,8.76,0.0,52.63103764105112
6892.0,3.0,110.0,2.0,20.99727631,105.8029861,4.57,5.0,38.18618486406173
2055.0,1.0,49.0,1.0,20.95757484,105.8069,8.54,1.0,36.66517823038376
5614.0,3.0,91.97,2.0,21.08827972,105.8004074,4.56,0.0,38.47140471728169
10505.0,2.0,75.1,2.0,21.01028824,105.9401245,13.93,1.0,35.79586411746325
4173.0,3.0,65.0,2.0,21.00522614,105.7389145,7.58,0.0,36.926120876239125
7121.0,2.0,49.0,2.0,21.0186842,105.838221,4.14,2.0,38.70339908312662
1433.0,2.0,80.0,2.0,20.96246719,105.792366,8.14,2.0,55.90847365160456
6132.0,2.0,66.0,2.0,21.03597832,105.9062958,10.18,1.0,41.05237905909447
5883.0,2.0,65.0,2.0,21.00481796,105.8046722,3.81,4.0,39.54689023115948
7850.0,2.0,70.0,2.0,20.95850182,105.8263474,8.72,1.0,30.20161667075222
10836.0,2.0,72.0,1.0,20.96359825,105.8280334,8.27,1.0,56.290545596904344
136.0,3.0,86.0,2.0,20.98373795,105.8515625,7.55,1.0,34.03027580271467
2132.0,3.0,110.0,2.0,21.01434898,105.7964096,2.98,2.0,32.86268288346091
4987.0,3.0,91.0,2.0,21.03510475,105.7655411,3.99,0.0,75.52465957484708
10663.0,3.0,94.0,2.0,21.0124321,105.767395,4.82,0.0,42.65843072269691
1386.0,3.0,161.9,2.0,21.07865143,105.8026123,3.58,0.0,32.86071067762502
2765.0,2.0,54.3,2.0,20.9732914,105.8200073,7.13,0.0,43.264048474922305
3981.0,3.0,95.8,2.0,21.00298119,105.7320557,8.29,0.0,15.980081460054125
