id,room,toilet,area,x,y,khoang_cach,quan,polistic,furniture,direct,direct2,price,n_hospital
1,2,2,75,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Dong - Bac,Dong - Nam,43.33333333,0
2,3,2,100,21.08439675,105.7923603,4.33,Bac Tu Liem,so do,cao cap,Tay,Bac,39,1
3,3,3,102,21.00266647,105.8154297,4.17,Thanh Xuan,so do,cao cap,Tay - Bac,Dong - Nam,39.21568627,4
4,3,3,103,21.00266647,105.8154297,4.17,Thanh Xuan,so do,cao cap,Tay - Bac,Dong - Nam,39.5,4
5,2,2,74,21.04423332,105.7673187,3.74,Bac Tu Liem,so do,day du,Bac,Dong - Nam,38.51351351,0
6,2,2,86,21.01682663,105.8152237,2.81,Dong Da,hdmb,day du,Dong - Bac,Tay - Nam,77.90697674,4
7,3,2,115,21.0324192,105.8313599,2.86,Ba Dinh,hdmb,day du,Tay - Nam,Nam,116,2
8,3,2,105.5,20.9919548,105.7851028,5.46,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Bac,42,1
9,2,2,59,21.00885201,105.7439194,6.97,Nam Tu Liem,hdmb,nguyen_ban,Dong - Bac,Tay - Nam,38.13559322,0
10,3,2,69,20.98483658,105.8598557,8.01,Hoang Mai,so do,co ban,Dong,Dong,37.68115942,1
11,4,3,190,21.00266647,105.8154297,4.17,Thanh Xuan,so do,cao cap,Tay - Bac,Dong - Nam,37.89473684,4
12,2,1,54,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,36.11111111,0
13,3,2,90,21.03445816,105.7696533,3.61,Nam Tu Liem,so do,cao cap,Dong - Nam,Dong - Nam,40.55555556,0
14,2,2,78,21.03656769,105.7604828,4.47,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,41.02564103,1
15,4,3,127,20.94645882,105.8557816,10.92,Thanh Tri,so do,co ban,Dong - Nam,Tay - Bac,23.5,3
16,2,1,55,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,42.63636364,0
17,1,1,46.7,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Tay - Nam,Dong - Bac,29.97858672,0
18,3,2,118,21.01193619,105.7749939,4.29,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,30,0
19,3,2,101,21.0201683,105.7807541,3.3,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,59.40594059,0
20,3,2,105,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,cao cap,Dong - Nam,Tay - Bac,43.80952381,0
21,2,1,60,21.00580597,105.7943726,3.85,Cau Giay,so do,day du,Dong - Nam,Dong - Nam,50,2
22,3,2,96,21.02681732,105.7876663,2.34,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,63.54166667,0
23,4,3,122,21.01188278,105.7864456,3.6,Nam Tu Liem,so do,co ban,Tay - Bac,Dong - Nam,52.45901639,2
24,3,2,102,21.0201683,105.7807541,3.3,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,58.82352941,0
25,3,2,113,21.00938606,105.7738724,4.56,Nam Tu Liem,hdmb,co ban,Dong - Bac,Tay - Nam,57.52212389,0
26,3,2,95,21.07865143,105.8026123,3.58,Tay Ho,so do,day du,Bac,Dong - Nam,41.1,0
27,3,2,117,21.0026989,105.7924271,4.21,Cau Giay,so do,day du,Nam,Bac,38,2
28,2,2,86,21.00826073,105.7960434,3.57,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,59.30232558,2
29,3,2,118,21.01193619,105.7749939,4.29,Nam Tu Liem,so do,day du,Nam,Bac,30,0
30,3,2,100,21.01682663,105.8152237,2.81,Dong Da,so do,day du,Tay - Nam,Dong - Nam,70,4
31,2,2,70,20.97952843,105.7875671,6.57,Ha Dong,hdmb,day du,Tay - Nam,Dong - Nam,47.14285714,3
32,3,2,115,20.97447205,105.7608795,8.13,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,26.52173913,1
33,2,2,88,21.05967522,105.8040771,1.68,Tay Ho,so do,day du,Dong,Nam,57.38636364,2
34,3,2,90,21.04956627,105.778595,2.69,Bac Tu Liem,so do,day du,Bac,Nam,46.66666667,1
35,2,2,62,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Tay - Bac,Tay - Bac,30,0
36,2,1,59,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,43.22033898,0
37,2,1,47,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,37.23404255,0
38,3,2,97,21.09144402,105.7847214,5.25,Bac Tu Liem,so do,co ban,Tay - Bac,Dong - Bac,47,1
39,2,2,72,21.0124321,105.767395,4.82,Nam Tu Liem,so do,day du,Tay,Dong - Nam,44.44444444,0
40,2,2,101,21.012491,105.81132,3.11,Dong Da,so do,day du,Tay - Nam,Dong - Nam,40,3
41,3,2,100,21.07865143,105.8026123,3.58,Tay Ho,so do,cao cap,Dong,Dong - Nam,39,0
42,3,2,111,20.98702621,105.7868347,5.87,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,43.24324324,1
43,2,2,95,21.00938606,105.7738724,4.56,Nam Tu Liem,so do,cao cap,Tay - Nam,Dong - Bac,46.84210526,0
44,3,2,96,21.02681732,105.7876663,2.34,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,58.33333333,0
45,2,2,97,21.07390404,105.7999802,3.13,Tay Ho,so do,day du,Dong - Nam,Dong - Bac,73.19587629,0
46,2,2,63,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Tay - Bac,Tay - Bac,31.74603175,0
47,2,2,87,21.0026989,105.7924271,4.21,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,41.37931034,2
48,2,2,74,21.04956627,105.778595,2.69,Bac Tu Liem,so do,day du,Bac,Dong - Nam,40.54054054,1
49,2,2,80.36,21.02956772,105.7918777,1.85,Cau Giay,so do,day du,Tay - Bac,Dong - Nam,54.13140866,0
50,2,2,95,21.00938606,105.7738724,4.56,Nam Tu Liem,hdmb,day du,Tay - Bac,Dong - Nam,47.36842105,0
51,2,2,78,21.04423332,105.7673187,3.74,Bac Tu Liem,so do,cao cap,Tay - Bac,Dong - Nam,32.05128205,0
52,3,2,108,21.03445816,105.7696533,3.61,Nam Tu Liem,so do,co ban,Tay - Bac,Dong - Nam,53.7037037,0
53,3,2,161.8,21.07865143,105.8026123,3.58,Tay Ho,hdmb,day du,Dong - Bac,Dong - Nam,69,0
54,3,2,108,21.03445816,105.7696533,3.61,Nam Tu Liem,so do,cao cap,Tay - Nam,Dong - Bac,48.14814815,0
55,3,2,114,21.04015923,105.7613144,4.35,Nam Tu Liem,hdmb,cao cap,Tay - Nam,Dong - Bac,48.72807018,1
56,2,3,152,21.03004456,105.7766266,3.09,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,35.5,0
57,2,2,114.5,21.01563644,105.8571854,5.91,Hai Ba Trung,so do,co ban,Dong - Bac,Tay - Nam,40.17467249,1
58,2,2,69,20.97776985,105.836113,7.23,Hoang Mai,so do,day du,Dong - Nam,Dong - Nam,39,1
59,1,1,47,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,37.44680851,0
60,2,1,48,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,36.45833333,0
61,3,2,118,21.01193619,105.7749939,4.29,Nam Tu Liem,so do,day du,Tay,Dong,27,0
62,1,1,47,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,37.65957447,0
