id,room,toilet,area,x,y,khoang_cach,quan,polistic,furniture,direct,direct2,price,n_hospital
2261,2,2,69.7,20.98434067,105.7768097,6.49,Long Bien,so do,day du,Tay - Nam,Dong - Bac,42.75466284,3
3192,4,4,180,21.00266647,105.8154297,4.17,Thanh Xuan,so do,cao cap,Tay - Nam,Dong - Bac,50,4
1838,3,4,135,21.11201615,105.8283099,7.3,Dong Anh,so do,day du,Dong - Bac,Tay - Nam,32,0
7748,2,2,70,20.99893761,105.8801956,8.74,Hoang Mai,so do,day du,Dong,Bac,39.71428571,0
3527,3,2,90,20.96728516,105.7781754,8.02,Ha Dong,chua so,cao cap,Tay - Bac,Dong - Nam,36.11111111,3
5879,3,2,100,21.04033661,105.7675858,3.72,Bac Tu Liem,so do,day du,Tay - Bac,Dong - Nam,31,0
4486,2,1,71.22,20.99629784,105.8056335,4.66,Thanh Xuan,so do,day du,Tay - Bac,Dong - Nam,42,5
6471,2,2,96,21.041172,105.825096,2.05,Nam Tu Liem,so do,day du,Dong,Nam,71.875,4
8878,1,1,45,20.9732914,105.8200073,7.13,Hoang Mai,so do,co ban,Dong - Nam,Tay - Bac,26.66666667,0
6183,3,2,121,21.04033661,105.7675858,3.72,Bac Tu Liem,so do,day du,Dong - Bac,Nam,30.5785124,0
7311,2,2,65,20.98483658,105.8598557,8.01,Hoang Mai,hdmb,day du,Tay - Bac,Dong - Nam,36.5,1
10408,2,2,62,21.07024574,105.7914734,3.04,Bac Tu Liem,so do,day du,Tay,Dong,38.70967742,1
6083,3,2,116,21.04423332,105.7673187,3.74,Cau Giay,so do,day du,Tay - Nam,Dong - Nam,32.32758621,0
10455,2,1,65,21.019447,105.821655,2.9,Dong Da,so do,day du,Tay - Nam,Dong - Bac,50.76923077,1
10183,3,1,89,21.004105,105.7987717,3.93,Cau Giay,so do,day du,Tay - Bac,Dong - Nam,29.7752809,3
2049,3,2,115,21.03326988,105.8167038,1.54,Ba Dinh,so do,day du,Tay - Bac,Dong - Nam,100,2
4533,2,2,83,21.0555439,105.80513,1.26,Tay Ho,so do,day du,Nam,Bac,40,2
1889,2,2,82,20.96040535,105.794693,8.31,Ha Dong,so do,day du,Dong - Bac,Tay - Nam,26.2195122,2
6435,2,1,61,21.01905632,105.7879791,2.91,Cau Giay,so do,day du,Tay - Bac,Dong - Nam,44.09836066,1
7073,4,3,163,21.01193619,105.7749939,4.29,Nam Tu Liem,so do,nguyen_ban,Dong - Bac,Tay - Nam,33.5,0
7923,2,1,63,21.0305339,105.7646653,4.19,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,35.71428571,0
2253,3,2,70,21.00893211,105.7440033,6.96,Ha Dong,so do,cao cap,Tay - Nam,Dong - Bac,81.42857143,0
3760,2,2,102.5,21.01941681,105.8168793,2.65,Ba Dinh,hdmb,day du,Dong - Bac,Tay - Nam,83.90243902,2
8754,3,2,105,20.9919548,105.7851028,5.46,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,38.0952381,1
2411,2,2,66,20.99657822,105.8651962,7.62,Thanh Xuan,so do,day du,Nam,Bac,63.63636364,0
5198,3,2,105.5,20.9919548,105.7851028,5.46,Dong Da,hdmb,day du,Dong - Nam,Tay - Bac,37.91469194,1
9682,2,1,60,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Dong - Bac,Tay - Nam,27.5,0
4936,3,2,98.4,21.02681732,105.7876663,2.34,Cau Giay,so do,cao cap,Dong - Nam,Dong - Nam,52.84552846,0
